Protest,g_lat,g_lon
LFL,42.2418172,-70.889759
LFL,42.2625932,-71.8022934
LFL,42.2711311,-89.0939952
LFL,42.2781401,-74.9159946
LFL,42.279286,-71.4161565
LFL,42.2808256,-83.7430378
LFL,42.2809285,-71.2377548
LFL,42.3180919,-84.0205029
LFL,42.3211522,-85.1797142
LFL,42.331427,-83.0457538
LFL,42.3600825,-71.0588801
LFL,42.3636331,-87.8447938
LFL,42.3709299,-71.1828321
LFL,42.3736158,-71.1097335
LFL,42.391736,-71.566139
LFL,42.4030865,-86.2736407
LFL,42.4166744,-90.4290168
LFL,42.4439614,-76.5018807
LFL,42.4473497,-71.2271531
LFL,42.4500845,-73.2453824
LFL,42.4773097,-72.6078667
LFL,42.4906231,-71.2760089
LFL,42.4974694,-94.1680158
LFL,42.51954,-70.8967155
LFL,42.5256563,-71.0952891
LFL,42.5584283,-70.880049
LFL,42.5792583,-71.4378411
